RecordedDate,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Recorded Date,Participant ID,"In the last week, how often have you felt nervous and stressed?","In the last week, how often have you felt confident about your ability to handle
 your personal problems?","In the last week, how often have you felt that you were unable to control the
 important things in your life?",Did you find this explanation useful?,"In the last week, how often have you felt that things were going your way?","In the last week, how often have you found that you could not cope with
 all the things that you had to do?","In the last week, how often have you been able to control irritations in
 your life?","In the last week, how often have you felt that you were on top of things?","In the last week, how often have you been angered because of things that
 happened that were outside of your control?","In the last week, how often have you felt difficulties were piling up so high that
 you could not overcome them?"
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID1216974409_TEXT""}","{""ImportId"":""QID1216974415""}","{""ImportId"":""QID1216974416""}","{""ImportId"":""QID1216974414""}","{""ImportId"":""QID1216974413""}","{""ImportId"":""QID1216974417""}","{""ImportId"":""QID1216974418""}","{""ImportId"":""QID1216974419""}","{""ImportId"":""QID1216974420""}","{""ImportId"":""QID1216974421""}","{""ImportId"":""QID1216974422""}"
2024-11-05 10:44:21,52984,Fairly often,Sometimes,Fairly often,Never,Never,Never,Never,Never,Almost never,Almost never
2024-11-11 04:33:04,52984,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Never,Sometimes
2024-11-11 04:46:31,39205,Sometimes,Fairly often,Sometimes,Almost never,Fairly often,Sometimes,Sometimes,Fairly often,Fairly often,Sometimes
2024-11-11 08:07:29,76435,Fairly often,Sometimes,Fairly often,Sometimes,Sometimes,Fairly often,Sometimes,Sometimes,Sometimes,Almost never
2024-11-12 05:03:58,58740,Sometimes,Fairly often,Sometimes,Almost never,Sometimes,Almost never,Very often,Sometimes,Almost never,Almost never
2024-11-12 06:03:53,27560,Fairly often,Sometimes,Fairly often,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Almost never,Fairly often
2024-11-12 09:33:21,91852,Fairly often,Sometimes,Fairly often,Sometimes,Sometimes,Sometimes,Sometimes,Fairly often,Fairly often,Sometimes
2024-11-12 10:05:54,47061,Very often,Sometimes,Almost never,Fairly often,Sometimes,Fairly often,Sometimes,Sometimes,Fairly often,Sometimes
